goliat,2026-06-02T13:24:37.000000-06:00,27.75,27.50,27.69,69.00,28.00
goliat,2026-06-02T13:43:33.000000-06:00,28.12,28.00,28.00,69.00,28.00
goliat,2026-06-02T13:44:17.000000-06:00,28.19,28.00,28.00,28.12,68.00,28.00
goliat,2026-06-02T22:31:15.000000-06:00,26.56,26.31,26.50,26.44,69.00,26.70
goliat,2026-06-02T22:34:04.000000-06:00,26.62,26.37,26.69,26.56,69.00,26.20
goliat,2026-06-02T22:36:49.000000-06:00,26.62,26.44,26.69,26.50,69.00,26.20
goliat,2026-06-02T22:40:27.000000-06:00,26.56,26.37,26.69,26.56,69.00,26.20
goliat,2026-06-02T22:42:01.000000-06:00,26.56,26.37,26.69,26.56,69.00,26.20
goliat,2026-06-02T22:47:06.000000-06:00,26.56,26.37,26.69,26.56,69.00,26.20
goliat,2026-06-02T22:52:14.000000-06:00,26.56,26.37,26.62,26.50,69.00,26.20
goliat,2026-06-02T22:53:21.000000-06:00,26.56,26.37,26.62,26.56,69.00,26.20
goliat,2026-06-02T22:56:56.000000-06:00,26.50,26.37,26.62,26.50,69.00,26.20
goliat,2026-06-02T23:01:21.000000-06:00,26.50,26.31,26.62,26.50,69.00,26.20
goliat,2026-06-02T23:03:11.000000-06:00,26.50,26.31,26.62,26.50,69.00,26.20
